序号,披露日期,处罚日期,当事人,当事人类型,处罚类型,罚没金额（元）,违规领域,违规事实,所属总行,处理机构,法律依据,罚没金额分组
91,2016/4/15,2012/6/14,江苏江南农村商业银行股份有限公司,法人机构,警告,,金融许可证违规,在未换发金融许可证的情况下，变更支行营业场所并对外营业、办理业务,江苏江南农村商业银行股份有限公司,常州银监分局,《金融许可证管理办法》第十六条,A
92,2016/4/15,2011/11/25,江苏江南农村商业银行股份有限公司,法人机构,罚款,200000,内控制度不健全,未经任职资格审查任命高级管理人员,江苏江南农村商业银行股份有限公司,常州银监分局,《中华人民共和国银行业监督管理法》第四十六条、《中国银行业监督管理委员会农村中小金融机构行政许可事项实施办法》第一百三十七条,B
93,2016/4/15,2015/10/23,江苏江南农村商业银行股份有限公司,法人机构,罚款,300000,信贷业务违规,未对借款人的借款用途和偿还能力进行严格审查；超过借款人实际需求发放流动资金贷款；未按规定进行贷款资金支付管理与控制,江苏江南农村商业银行股份有限公司,常州银监分局,《中华人民共和国银行业监督管理法》第四十六条第（五）项,C
94,2016/4/13,2015/9/30,广西北流柳银村镇银行股份有限公司,法人机构,罚款,400000,"信贷业务违规,员工行为管理不到位",贷后管理不到位导致贷款被挪用、越权审批贷款、员工违规出借个人账户,广西北流柳银村镇银行股份有限公司,玉林银监分局,《中华人民共和国银行业监督管理法》第四十六条第（五）项,D
95,2016/4/13,2015/6/9,广西阳朔农村商业银行股份有限公司,法人机构,罚款,400000,信贷业务违规,向不符合条件的借款人发放贷款、违规发放担保贷款、贷后管理不到位导致贷款被挪用,广西阳朔农村商业银行股份有限公司,广西银监局,《中华人民共和国银行业监督管理法》第四十六条第（五）项,D
96,2016/4/13,2015/12/31,广西桂林漓江农村合作银行,法人机构,罚款,700000,票据业务违规,办理无真实贸易背景银行承兑汇票业务、贷款集中度超标,广西桂林漓江农村合作银行,桂林银监分局,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中华人民共和国商业银行法》第七十五条第（三）项,E
97,2016/4/13,2015/10/12,柳州市区农村信用合作联社,法人机构,罚款,400000,票据业务违规,办理无真实贸易背景银行承兑汇票业务,柳州市区农村信用合作联社,柳州银监分局,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中国银行业监督管理委员会行政处罚办法》第十五条第（一）项,D
98,2016/4/13,2010/6/18,南丹县农村信用合作联社,法人机构,罚款,10000,金融许可证违规,遗失金融许可证且未向银监部门报告,南丹县农村信用合作联社,河池银监分局,《金融许可证管理办法》第十六条第（三）（四）项,A
99,2016/4/13,2015/10/25,广西上思农村商业银行股份有限公司,法人机构,罚款,300000,信贷业务违规,向不符合条件的借款人发放贷款,广西上思农村商业银行股份有限公司,防城港银监分局,《中华人民共和国银行业监督管理法》第四十六条第（五）项,C
100,2016/4/13,2015/11/23,广西浦北农村商业银行股份有限公司,法人机构,罚款,400000,"信贷业务违规,银行存款业务违规",违规发放个人贷款、以贷转存虚增存款,广西浦北农村商业银行股份有限公司,钦州银监分局,《中华人民共和国银行业监督管理法》第四十六条第（五）项,D
